date,release_id,release_name
2019-06-21,441,Coinbase Cryptocurrencies
2019-06-21,440,Coinbase Index
2019-06-21,86,Commercial Paper
2019-06-21,72,Daily Treasury Inflation-Indexed Securities
2019-06-21,279,Economic Policy Uncertainty
2019-06-21,378,Federal Funds Data
2019-06-21,101,FOMC Press Release
2019-06-21,18,H.15 Selected Interest Rates
2019-06-21,22,H.8 Assets and Liabilities of Commercial Banks in the United States
2019-06-21,185,Interest on Required Balances and Excess Balances
2019-06-21,304,Interest Rate Spreads
2019-06-21,446,Labor Force Participation by State
2019-06-21,256,LBMA Gold Price: Daily Prices
2019-06-21,442,LBMA Silver Price: Daily Prices
2019-06-21,106,M2 Own Rate
2019-06-21,63,M2 Related Series
2019-06-21,61,Money Zero Maturity (MZM)
2019-06-21,427,Moody's Daily Corporate Bond Yield Averages
2019-06-21,328,NASDAQ
2019-06-21,287,Nikkei Indexes
2019-06-21,375,Overnight Bank Funding Rate Data
2019-06-21,301,Real Money Stock Measures
2019-06-21,242,Recession Indicators Series
2019-06-21,284,Russell Indexes
2019-06-21,445,Secured Overnight Financing Rate Data
2019-06-21,308,"State and Metro Area Employment, Hours, and Earnings"
2019-06-21,112,State Employment and Unemployment
2019-06-21,400,St. Louis Fed Economic News Index
2019-06-21,78,St. Louis Monthly Reserves and Monetary Base
2019-06-21,305,Swiss National Bank Monthly Statistical Bulletin
2019-06-21,379,Temporary Open Market Operations
2019-06-21,298,Texas Employment Data
2019-06-20,319,BIS Effective Exchange Rate Indices
2019-06-20,200,CBOE Market Statistics
2019-06-20,441,Coinbase Cryptocurrencies
2019-06-20,440,Coinbase Index
2019-06-20,86,Commercial Paper
2019-06-20,72,Daily Treasury Inflation-Indexed Securities
2019-06-20,279,Economic Policy Uncertainty
2019-06-20,378,Federal Funds Data
2019-06-20,101,FOMC Press Release
2019-06-20,18,H.15 Selected Interest Rates
2019-06-20,19,H.3 Aggregate Reserves of Depository Institutions and the Monetary Base
2019-06-20,283,H.3 Aggregate Reserves of Depository Institutions and the Monetary Base  (data not included in press release)
2019-06-20,20,H.4.1 Factors Affecting Reserve Balances
2019-06-20,21,H.6 Money Stock Measures
2019-06-20,89,Household Debt Service and Financial Obligations Ratios
2019-06-20,209,ICE BofAML Indices
2019-06-20,185,Interest on Required Balances and Excess Balances
2019-06-20,304,Interest Rate Spreads
2019-06-20,256,LBMA Gold Price: Daily Prices
2019-06-20,442,LBMA Silver Price: Daily Prices
2019-06-20,351,Manufacturing Business Outlook Survey
2019-06-20,427,Moody's Daily Corporate Bond Yield Averages
2019-06-20,328,NASDAQ
2019-06-20,287,Nikkei Indexes
2019-06-20,375,Overnight Bank Funding Rate Data
2019-06-20,190,Primary Mortgage Market Survey
2019-06-20,242,Recession Indicators Series
2019-06-20,284,Russell Indexes
2019-06-20,100,Seasonal Credit Rate
2019-06-20,445,Secured Overnight Financing Rate Data
2019-06-20,79,St. Louis Bi-Weekly Reserves and Monetary Base
2019-06-20,187,St. Louis Fed Financial Stress Index
2019-06-20,105,St. Louis Weekly Reserves and Monetary Base
2019-06-20,379,Temporary Open Market Operations
2019-06-20,180,Unemployment Insurance Weekly Claims Report
2019-06-20,49,U.S. International Transactions
2019-06-20,196,Wilshire Indexes
2019-06-19,200,CBOE Market Statistics
2019-06-19,221,Chicago Fed National Financial Conditions Index
2019-06-19,441,Coinbase Cryptocurrencies
2019-06-19,440,Coinbase Index
2019-06-19,86,Commercial Paper
2019-06-19,72,Daily Treasury Inflation-Indexed Securities
2019-06-19,279,Economic Policy Uncertainty
2019-06-19,378,Federal Funds Data
2019-06-19,101,FOMC Press Release
2019-06-19,18,H.15 Selected Interest Rates
2019-06-19,209,ICE BofAML Indices
2019-06-19,185,Interest on Required Balances and Excess Balances
2019-06-19,304,Interest Rate Spreads
2019-06-19,256,LBMA Gold Price: Daily Prices
2019-06-19,442,LBMA Silver Price: Daily Prices
2019-06-19,427,Moody's Daily Corporate Bond Yield Averages
2019-06-19,328,NASDAQ
2019-06-19,342,Natural Gas Spot and Futures Prices (NYMEX)
2019-06-19,287,Nikkei Indexes
2019-06-19,375,Overnight Bank Funding Rate Data
2019-06-19,242,Recession Indicators Series
2019-06-19,284,Russell Indexes
2019-06-19,445,Secured Overnight Financing Rate Data
2019-06-19,212,Spot Prices
2019-06-19,326,Summary of Economic Projections
2019-06-19,379,Temporary Open Market Operations
2019-06-19,196,Wilshire Indexes
2019-06-18,322,Business Leaders Survey
2019-06-18,280,Cass Freight Index Report
2019-06-18,200,CBOE Market Statistics
2019-06-18,441,Coinbase Cryptocurrencies
2019-06-18,440,Coinbase Index
2019-06-18,86,Commercial Paper
2019-06-18,72,Daily Treasury Inflation-Indexed Securities
2019-06-18,279,Economic Policy Uncertainty
2019-06-18,378,Federal Funds Data
2019-06-18,101,FOMC Press Release
2019-06-18,386,GDPNow
2019-06-18,18,H.15 Selected Interest Rates
2019-06-18,251,Harmonized Indices of Consumer Prices (HICP)
2019-06-18,209,ICE BofAML Indices
2019-06-18,185,Interest on Required Balances and Excess Balances
2019-06-18,304,Interest Rate Spreads
2019-06-18,256,LBMA Gold Price: Daily Prices
2019-06-18,442,LBMA Silver Price: Daily Prices
2019-06-18,427,Moody's Daily Corporate Bond Yield Averages
2019-06-18,328,NASDAQ
2019-06-18,27,New Residential Construction
2019-06-18,287,Nikkei Indexes
2019-06-18,375,Overnight Bank Funding Rate Data
2019-06-18,365,Primary Commodity Prices
2019-06-18,242,Recession Indicators Series
2019-06-18,284,Russell Indexes
2019-06-18,445,Secured Overnight Financing Rate Data
2019-06-18,379,Temporary Open Market Operations
2019-06-18,196,Wilshire Indexes
2019-06-17,200,CBOE Market Statistics
2019-06-17,441,Coinbase Cryptocurrencies
2019-06-17,440,Coinbase Index
2019-06-17,86,Commercial Paper
2019-06-17,72,Daily Treasury Inflation-Indexed Securities
2019-06-17,279,Economic Policy Uncertainty
2019-06-17,321,Empire State Manufacturing Survey
2019-06-17,378,Federal Funds Data
2019-06-17,101,FOMC Press Release
2019-06-17,15,G.5 Foreign Exchange Rates
2019-06-17,183,Gasoline and Diesel Fuel Update
2019-06-17,17,H.10 Foreign Exchange Rates
2019-06-17,18,H.15 Selected Interest Rates
2019-06-17,209,ICE BofAML Indices
2019-06-17,185,Interest on Required Balances and Excess Balances
2019-06-17,304,Interest Rate Spreads
2019-06-17,239,International Financial Statistics
2019-06-17,256,LBMA Gold Price: Daily Prices
2019-06-17,442,LBMA Silver Price: Daily Prices
2019-06-17,427,Moody's Daily Corporate Bond Yield Averages
2019-06-17,328,NASDAQ
2019-06-17,287,Nikkei Indexes
2019-06-17,375,Overnight Bank Funding Rate Data
2019-06-17,242,Recession Indicators Series
2019-06-17,284,Russell Indexes
2019-06-17,445,Secured Overnight Financing Rate Data
2019-06-17,379,Temporary Open Market Operations
2019-06-17,317,Weekly National Rates and Rate Caps
2019-06-17,71,Weekly Treasury Inflation-Indexed Securities
2019-06-17,196,Wilshire Indexes
2019-06-16,441,Coinbase Cryptocurrencies
2019-06-16,440,Coinbase Index
2019-06-14,9,Advance Monthly Sales for Retail and Food Services
2019-06-14,200,CBOE Market Statistics
2019-06-14,441,Coinbase Cryptocurrencies
2019-06-14,440,Coinbase Index
2019-06-14,86,Commercial Paper
2019-06-14,72,Daily Treasury Inflation-Indexed Securities
2019-06-14,279,Economic Policy Uncertainty
2019-06-14,378,Federal Funds Data
2019-06-14,101,FOMC Press Release
2019-06-14,13,G.17 Industrial Production and Capacity Utilization
2019-06-14,386,GDPNow
2019-06-14,18,H.15 Selected Interest Rates
2019-06-14,122,H.4.1 Factors Affecting Reserve Balances (data not included in press release)
